datetime,BPM
2018-03-01 22:17:43,0
2018-03-01 22:17:44,0
2018-03-01 22:17:45,92
2018-03-01 22:17:47,94
2018-03-01 22:17:48,95
2018-03-01 22:17:49,104
2018-03-01 22:17:50,107
2018-03-01 22:17:51,110
2018-03-01 22:17:52,111
2018-03-01 22:17:53,114
2018-03-01 22:17:54,112
2018-03-01 22:17:55,112
2018-03-01 22:17:56,86
2018-03-01 22:17:57,79
2018-03-01 22:17:58,78
2018-03-01 22:17:59,78
2018-03-01 22:18:00,78
2018-03-01 22:18:01,78
2018-03-01 22:18:02,0
2018-03-01 22:18:03,0
2018-03-01 22:18:04,72
2018-03-01 22:18:05,72
2018-03-01 22:18:06,0
2018-03-01 22:18:07,0
2018-03-01 22:18:08,0
2018-03-01 22:18:09,25
2018-03-01 22:18:10,25
2018-03-01 22:18:11,26
2018-03-01 22:18:12,27
2018-03-01 22:18:13,27
2018-03-01 22:18:14,28
2018-03-01 22:18:15,28
2018-03-01 22:18:16,29
2018-03-01 22:18:17,31
2018-03-01 22:18:18,37
2018-03-01 22:18:19,48
2018-03-01 22:18:20,62
2018-03-01 22:18:21,90
2018-03-01 22:18:22,90
2018-03-01 22:18:23,0
2018-03-01 22:18:24,0
2018-03-01 22:18:25,105
2018-03-01 22:18:26,97
2018-03-01 22:18:27,97
2018-03-01 22:18:28,90
2018-03-01 22:18:29,89
2018-03-01 22:18:30,77
2018-03-01 22:18:31,73
2018-03-01 22:18:32,68
2018-03-01 22:18:33,67
2018-03-01 22:18:34,67
2018-03-01 22:18:35,59
2018-03-01 22:18:36,59
2018-03-01 22:18:37,59
2018-03-01 22:18:38,59
2018-03-01 22:18:39,51
2018-03-01 22:18:40,49
2018-03-01 22:18:41,47
2018-03-01 22:18:42,50
2018-03-01 22:18:43,52
