datetime,BPM
2018-03-01 22:01:50,0
2018-03-01 22:01:51,0
2018-03-01 22:01:52,0
2018-03-01 22:01:53,31
2018-03-01 22:01:54,32
2018-03-01 22:01:55,33
2018-03-01 22:01:56,33
2018-03-01 22:01:57,33
2018-03-01 22:01:58,35
2018-03-01 22:01:59,35
2018-03-01 22:02:00,35
2018-03-01 22:02:01,37
2018-03-01 22:02:02,40
2018-03-01 22:02:03,57
2018-03-01 22:02:04,84
2018-03-01 22:02:05,148
2018-03-01 22:02:06,199
2018-03-01 22:02:07,206
2018-03-01 22:02:08,191
2018-03-01 22:02:09,177
2018-03-01 22:02:10,160
2018-03-01 22:02:11,142
2018-03-01 22:02:12,152
2018-03-01 22:02:13,145
2018-03-01 22:02:14,170
2018-03-01 22:02:15,173
2018-03-01 22:02:16,163
2018-03-01 22:02:17,170
2018-03-01 22:02:18,171
2018-03-01 22:02:19,182
2018-03-01 22:02:20,218
2018-03-01 22:02:21,214
2018-03-01 22:02:22,200
2018-03-01 22:02:23,178
2018-03-01 22:02:24,153
2018-03-01 22:02:25,149
2018-03-01 22:02:26,148
2018-03-01 22:02:27,174
2018-03-01 22:02:28,212
2018-03-01 22:02:29,211
2018-03-01 22:02:30,198
2018-03-01 22:02:31,196
2018-03-01 22:02:32,190
2018-03-01 22:02:33,185
2018-03-01 22:02:34,180
2018-03-01 22:02:35,181
2018-03-01 22:02:36,182
2018-03-01 22:02:37,165
2018-03-01 22:02:38,160
2018-03-01 22:02:39,168
2018-03-01 22:02:40,171
2018-03-01 22:02:41,206
2018-03-01 22:02:42,186
2018-03-01 22:02:43,147
2018-03-01 22:02:44,148
2018-03-01 22:02:45,163
2018-03-01 22:02:46,194
2018-03-01 22:02:47,198
2018-03-01 22:02:48,192
2018-03-01 22:02:49,182
