datetime,BPM
2018-03-02 21:05:31,0
2018-03-02 21:05:32,0
2018-03-02 21:05:33,0
2018-03-02 21:05:34,0
2018-03-02 21:05:35,0
2018-03-02 21:05:36,104
2018-03-02 21:05:37,104
2018-03-02 21:05:38,0
2018-03-02 21:05:39,0
2018-03-02 21:05:40,70
2018-03-02 21:05:41,70
2018-03-02 21:05:42,70
2018-03-02 21:05:43,0
2018-03-02 21:05:44,0
2018-03-02 21:05:45,94
2018-03-02 21:05:46,94
2018-03-02 21:05:47,0
2018-03-02 21:05:48,0
2018-03-02 21:05:49,78
2018-03-02 21:05:50,78
2018-03-02 21:05:51,68
2018-03-02 21:05:52,68
2018-03-02 21:05:53,62
2018-03-02 21:05:54,62
2018-03-02 21:05:55,62
2018-03-02 21:05:56,53
2018-03-02 21:05:57,53
2018-03-02 21:05:58,53
2018-03-02 21:05:59,48
2018-03-02 21:06:00,45
2018-03-02 21:06:01,45
2018-03-02 21:06:02,41
2018-03-02 21:06:03,40
2018-03-02 21:06:04,39
2018-03-02 21:06:05,43
2018-03-02 21:06:06,43
2018-03-02 21:06:07,0
2018-03-02 21:06:08,154
2018-03-02 21:06:09,154
2018-03-02 21:06:10,123
2018-03-02 21:06:11,113
2018-03-02 21:06:12,113
2018-03-02 21:06:13,0
2018-03-02 21:06:14,0
2018-03-02 21:06:15,37
2018-03-02 21:06:16,38
2018-03-02 21:06:17,41
2018-03-02 21:06:18,41
2018-03-02 21:06:19,44
2018-03-02 21:06:20,47
2018-03-02 21:06:21,47
2018-03-02 21:06:22,45
2018-03-02 21:06:23,47
2018-03-02 21:06:24,47
