datetime,BPM
2018-03-02 20:48:49,0
2018-03-02 20:48:50,109
2018-03-02 20:48:51,104
2018-03-02 20:48:52,104
2018-03-02 20:48:53,109
2018-03-02 20:48:54,88
2018-03-02 20:48:55,88
2018-03-02 20:48:56,80
2018-03-02 20:48:57,80
2018-03-02 20:48:58,80
2018-03-02 20:48:59,0
2018-03-02 20:49:00,45
2018-03-02 20:49:01,45
2018-03-02 20:49:02,44
2018-03-02 20:49:03,45
2018-03-02 20:49:04,48
2018-03-02 20:49:05,51
2018-03-02 20:49:06,51
2018-03-02 20:49:07,51
2018-03-02 20:49:08,0
2018-03-02 20:49:09,134
2018-03-02 20:49:10,134
2018-03-02 20:49:11,134
2018-03-02 20:49:12,0
2018-03-02 20:49:13,83
2018-03-02 20:49:14,77
2018-03-02 20:49:15,76
2018-03-02 20:49:16,78
2018-03-02 20:49:17,78
2018-03-02 20:49:18,78
2018-03-02 20:49:19,71
2018-03-02 20:49:20,70
2018-03-02 20:49:21,68
2018-03-02 20:49:22,68
2018-03-02 20:49:23,69
2018-03-02 20:49:24,69
2018-03-02 20:49:25,66
2018-03-02 20:49:26,64
2018-03-02 20:49:27,70
2018-03-02 20:49:28,77
2018-03-02 20:49:29,89
2018-03-02 20:49:30,96
2018-03-02 20:49:31,104
2018-03-02 20:49:32,103
2018-03-02 20:49:33,109
2018-03-02 20:49:34,106
2018-03-02 20:49:35,106
2018-03-02 20:49:36,84
2018-03-02 20:49:37,76
2018-03-02 20:49:38,71
2018-03-02 20:49:39,71
