datetime,BPM,label
2018-03-02 20:52:39,0,0
2018-03-02 20:52:40,0,0
2018-03-02 20:52:41,59,0
2018-03-02 20:52:42,71,0
2018-03-02 20:52:43,73,0
2018-03-02 20:52:44,82,0
2018-03-02 20:52:45,92,0
2018-03-02 20:52:46,92,0
2018-03-02 20:52:47,92,0
2018-03-02 20:52:48,0,0
2018-03-02 20:52:49,112,0
2018-03-02 20:52:50,126,0
2018-03-02 20:52:51,136,0
2018-03-02 20:52:52,136,0
2018-03-02 20:52:53,0,0
2018-03-02 20:52:54,124,0
2018-03-02 20:52:55,129,0
2018-03-02 20:52:56,129,0
2018-03-02 20:52:57,109,0
2018-03-02 20:52:58,115,0
2018-03-02 20:52:59,114,0
2018-03-02 20:53:00,114,1
2018-03-02 20:53:01,97,1
2018-03-02 20:53:02,88,1
2018-03-02 20:53:03,88,1
2018-03-02 20:53:04,88,1
2018-03-02 20:53:05,0,1
2018-03-02 20:53:06,95,1
2018-03-02 20:53:07,98,1
2018-03-02 20:53:08,99,1
2018-03-02 20:53:09,109,1
2018-03-02 20:53:10,109,1
2018-03-02 20:53:11,85,1
2018-03-02 20:53:12,85,1
2018-03-02 20:53:13,74,1
2018-03-02 20:53:14,74,1
2018-03-02 20:53:15,65,1
2018-03-02 20:53:16,57,1
2018-03-02 20:53:17,57,1
2018-03-02 20:53:18,53,1
