datetime,X_gyro,Y_gyro,Z_gyro,X_acc,Y_acc,Z_acc,X_comp,Y_comp,Z_comp,BPM,Label
37:01.5,14.16577053,3.676048517,15.25938416,-4.749511719,-2.05859375,-0.062744141,-5636.750488,2822.833984,5760.63916,94,0
37:01.7,0.7283324,-0.076941155,0.105350494,-0.160400391,-0.141357422,1.333496094,-5639.129395,2822.594971,5760.593262,94,0
37:01.9,0.408532768,-0.279143929,-0.00852159,-0.197998047,-0.115234375,1.029785156,-5627.454102,2826.358887,5756.394531,94,0
37:02.1,-0.359757721,-0.04023058,-0.087434337,0.038330078,0.016113281,0.837158203,-5618.411133,2827.170166,5755.677246,94,0
37:02.3,-0.198527589,0.146008819,-0.224187255,-0.118896484,0.015869141,0.908935547,-5620.549805,2823.674561,5757.477539,94,0
37:02.5,0.056354318,0.242321193,0.233961657,-0.048339844,-0.087890625,0.862060547,-5620.120117,2820.691162,5758.878418,94,0
37:02.8,0.146281347,-0.192414761,0.285576552,-0.050537109,0.123291016,0.856689453,-5617.627441,2823.176025,5759.39209,94,0
37:02.9,0.229823008,-0.042359028,0.241411224,-0.067382813,0.118652344,0.922119141,-5613.870605,2822.501221,5757.874023,94,0
37:03.1,0.285694808,0.026815604,-0.084773771,-0.048339844,0.042724609,0.826904297,-5608.272949,2826.394287,5755.55957,94,0
37:03.3,-0.349293768,0.148125574,-0.021719815,-0.132568359,-0.007568359,1.010742188,-5614.979004,2828.405518,5753.524902,94,0
37:03.5,-0.446138263,0.143336564,0.109179877,-0.156982422,-0.079589844,1.133056641,-5625.458984,2827.142334,5755.079102,0,0
37:03.7,-0.09494397,-0.148261115,-0.304271579,-0.189697266,-0.054199219,1.14453125,-5632.013672,2826.297852,5757.869141,0,0
37:03.9,0.354932159,0.037464365,0.336969942,-0.155273438,0.005126953,1.428466797,-5636.09375,2825.597656,5758.71582,0,0
37:04.1,0.851393223,-0.407913834,-0.081802621,-0.103027344,-0.109375,1.065429688,-5627.085938,2828.527832,5753.983398,0,0
37:04.3,-0.409733146,-0.079419702,-0.441680849,-0.072998047,-0.038818359,0.815673828,-5617.260254,2831.168213,5753.186035,0,0
37:04.6,-0.31129232,0.175994322,-0.630580783,-0.107177734,0.028320313,0.774169922,-5620.114746,2825.948242,5755.553223,0,0
37:04.8,-0.026763184,0.106419295,0.060516205,-0.031494141,0.032958984,0.851318359,-5625.228516,2823.182861,5757.631836,0,0
37:05.0,0.059439048,-0.195288524,0.541545987,-0.104736328,0.255859375,0.992431641,-5625.709961,2822.0896,5758.853027,0,0
