datetime,BPM,label
2018-02-28 17:44:47,62,1
2018-02-28 17:44:48,58,1
2018-02-28 17:44:49,56,1
2018-02-28 17:44:50,58,1
2018-02-28 17:44:51,58,1
2018-02-28 17:44:52,64,1
2018-02-28 17:44:53,61,1
2018-02-28 17:44:54,62,1
2018-02-28 17:44:55,62,1
2018-02-28 17:51:11,0,0
2018-02-28 17:51:12,135,0
2018-02-28 17:51:13,125,0
2018-02-28 17:51:14,117,0
2018-02-28 17:51:15,103,0
2018-02-28 17:51:16,97,0
2018-02-28 17:51:17,93,0
2018-02-28 17:51:18,85,0
2018-02-28 17:51:19,81,0
2018-02-28 17:51:20,83,0
2018-02-28 17:51:21,89,0
2018-02-28 17:51:22,89,0
2018-02-28 17:51:23,80,0
2018-02-28 17:51:24,79,0
2018-02-28 17:51:25,78,0
2018-02-28 17:51:26,83,0
2018-02-28 17:51:27,83,0
2018-02-28 17:51:28,77,0
2018-02-28 17:51:29,71,0
2018-02-28 17:51:30,92,0
2018-02-28 17:51:31,110,0
2018-02-28 17:51:32,104,0
2018-02-28 17:51:33,122,0
2018-02-28 17:51:34,114,0
2018-02-28 17:51:35,108,0
2018-02-28 17:51:36,96,0
2018-02-28 17:51:37,84,0
2018-02-28 17:51:38,78,0
2018-02-28 17:51:39,78,0
2018-02-28 17:51:40,73,0
2018-02-28 17:51:41,73,0
2018-02-28 17:51:42,67,0
2018-02-28 17:51:43,67,0
2018-02-28 17:51:44,59,0
2018-02-28 17:51:45,59,0
2018-02-28 17:51:46,54,0
2018-02-28 17:51:47,54,0
2018-02-28 17:51:48,60,0
2018-02-28 17:51:49,58,0
2018-02-28 17:51:50,67,0
2018-02-28 17:51:51,83,0
2018-02-28 17:51:52,97,0
2018-02-28 17:51:53,97,0
2018-02-28 17:51:54,0,0
2018-02-28 17:51:55,0,0
2018-02-28 17:51:56,0,1
2018-02-28 17:51:57,0,1
2018-02-28 17:51:58,0,1
2018-02-28 17:51:59,0,1
2018-02-28 17:52:00,0,1
2018-02-28 17:52:01,40,1
2018-02-28 17:52:02,40,1
2018-02-28 17:52:03,40,1
2018-02-28 17:52:04,40,1
2018-02-28 17:52:05,38,1
2018-02-28 17:52:06,38,1
2018-02-28 17:52:07,38,1
2018-02-28 17:52:08,38,1
2018-02-28 17:52:09,0,1
2018-02-28 17:52:10,0,1
2018-02-28 17:52:11,42,1
2018-02-28 17:52:12,44,1
2018-02-28 17:52:13,49,1
2018-02-28 17:52:14,58,1
2018-02-28 17:52:15,63,1
2018-02-28 17:52:16,63,1
2018-02-28 17:52:17,63,1
2018-02-28 17:52:18,63,1
2018-02-28 17:52:19,58,1
2018-02-28 17:52:20,58,1
2018-02-28 17:52:21,58,1
2018-02-28 17:52:22,55,1
2018-02-28 17:52:23,53,1
2018-02-28 17:54:35,0,0
2018-02-28 17:54:36,0,0
2018-02-28 17:54:37,0,0
2018-02-28 17:54:38,31,0
2018-02-28 17:54:39,32,0
2018-02-28 17:54:40,37,0
2018-02-28 17:54:41,45,0
2018-02-28 17:54:42,58,0
2018-02-28 17:54:43,81,0
2018-02-28 17:54:44,128,0
2018-02-28 17:54:45,128,0
2018-02-28 17:54:46,98,0
2018-02-28 17:54:47,87,0
2018-02-28 17:54:48,87,0
2018-02-28 17:54:49,80,0
2018-02-28 17:54:50,80,0
2018-02-28 17:54:51,70,0
2018-02-28 17:54:52,66,0
2018-02-28 17:54:53,60,0
2018-02-28 17:54:54,58,0
2018-02-28 17:54:55,66,0
2018-02-28 17:54:56,86,0
2018-02-28 17:54:57,109,0
2018-02-28 17:54:58,136,0
2018-02-28 17:54:59,127,0
2018-02-28 17:55:00,122,0
2018-02-28 17:55:01,122,0
2018-02-28 17:55:02,96,0
2018-02-28 17:55:03,86,0
2018-02-28 17:55:04,86,0
2018-02-28 17:55:05,86,0
2018-02-28 17:55:06,0,1
2018-02-28 17:55:07,0,1
2018-02-28 17:55:08,34,1
2018-02-28 17:55:09,35,1
2018-02-28 17:55:10,40,1
2018-02-28 17:55:11,43,1
2018-02-28 17:55:12,74,1
2018-02-28 17:55:13,109,1
2018-02-28 17:55:14,130,1
2018-02-28 17:55:15,158,1
2018-02-28 17:55:16,143,1
2018-02-28 17:55:17,141,1
