datetime,BPM
2018-03-05 16:58:07,0
2018-03-05 16:58:08,94
2018-03-05 16:58:09,100
2018-03-05 16:58:10,119
2018-03-05 16:58:11,144
2018-03-05 16:58:12,157
2018-03-05 16:58:13,170
2018-03-05 16:58:14,163
2018-03-05 16:58:15,167
2018-03-05 16:58:16,181
2018-03-05 16:58:17,216
2018-03-05 16:58:18,212
2018-03-05 16:58:19,198
2018-03-05 16:58:20,184
2018-03-05 16:58:21,180
2018-03-05 16:58:22,196
2018-03-05 16:58:23,195
2018-03-05 16:58:24,203
2018-03-05 16:58:25,187
2018-03-05 16:58:26,171
2018-03-05 16:58:27,151
2018-03-05 16:58:28,135
2018-03-05 16:58:29,127
2018-03-05 16:58:30,135
2018-03-05 16:58:31,193
2018-03-05 16:58:32,219
2018-03-05 16:58:33,212
2018-03-05 16:58:34,176
2018-03-05 16:58:35,158
2018-03-05 16:58:36,139
2018-03-05 16:58:37,142
2018-03-05 16:58:38,134
2018-03-05 16:58:39,132
2018-03-05 16:58:40,130
2018-03-05 16:58:41,130
2018-03-05 16:58:42,96
2018-03-05 16:58:43,88
2018-03-05 16:58:44,82
2018-03-05 16:58:45,90
2018-03-05 16:58:46,126
2018-03-05 16:58:47,151
2018-03-05 16:58:48,162
2018-03-05 16:58:49,163
2018-03-05 16:58:50,192
2018-03-05 16:58:51,206
2018-03-05 16:58:52,204
2018-03-05 16:58:53,196
2018-03-05 16:58:54,207
2018-03-05 16:58:55,202
2018-03-05 16:58:56,186
2018-03-05 16:58:57,182
2018-03-05 16:58:58,182
2018-03-05 16:58:59,0
2018-03-05 16:59:00,0
2018-03-05 16:59:01,63
