datetime,BPM
2018-03-05 17:02:58,0
2018-03-05 17:02:59,181
2018-03-05 17:03:00,184
2018-03-05 17:03:01,191
2018-03-05 17:03:02,189
2018-03-05 17:03:03,174
2018-03-05 17:03:04,171
2018-03-05 17:03:05,171
2018-03-05 17:03:06,128
2018-03-05 17:03:07,104
2018-03-05 17:03:08,94
2018-03-05 17:03:09,79
2018-03-05 17:03:10,71
2018-03-05 17:03:11,70
2018-03-05 17:03:12,70
2018-03-05 17:03:13,66
2018-03-05 17:03:14,80
2018-03-05 17:03:15,77
2018-03-05 17:03:16,85
2018-03-05 17:03:17,92
2018-03-05 17:03:18,91
2018-03-05 17:03:19,82
2018-03-05 17:03:20,85
2018-03-05 17:03:21,83
2018-03-05 17:03:22,96
2018-03-05 17:03:23,101
2018-03-05 17:03:24,108
2018-03-05 17:03:25,108
2018-03-05 17:03:26,108
2018-03-05 17:03:27,110
2018-03-05 17:03:28,102
2018-03-05 17:03:29,95
2018-03-05 17:03:30,107
2018-03-05 17:03:31,103
2018-03-05 17:03:32,100
2018-03-05 17:03:33,100
2018-03-05 17:03:34,100
2018-03-05 17:03:35,80
2018-03-05 17:03:36,75
2018-03-05 17:03:37,75
2018-03-05 17:03:38,68
2018-03-05 17:03:39,68
2018-03-05 17:03:40,61
2018-03-05 17:03:41,58
2018-03-05 17:03:42,56
2018-03-05 17:03:43,53
2018-03-05 17:03:44,53
2018-03-05 17:03:45,58
2018-03-05 17:03:46,61
2018-03-05 17:03:47,68
2018-03-05 17:03:48,72
2018-03-05 17:03:49,78
2018-03-05 17:03:50,87
2018-03-05 17:03:51,86
2018-03-05 17:03:52,95
2018-03-05 17:03:53,98
2018-03-05 17:03:54,94
2018-03-05 17:03:55,92
2018-03-05 17:03:56,83
2018-03-05 17:03:57,83
2018-03-05 17:03:58,83
2018-03-05 17:03:59,76
2018-03-05 17:04:00,78
2018-03-05 17:04:01,78
2018-03-05 17:04:02,0
2018-03-05 17:04:03,168
2018-03-05 17:04:04,169
2018-03-05 17:04:05,168
2018-03-05 17:04:06,135
2018-03-05 17:04:07,124
2018-03-05 17:04:08,105
2018-03-05 17:04:09,90
2018-03-05 17:04:10,85
2018-03-05 17:04:11,85
2018-03-05 17:04:12,85
2018-03-05 17:04:13,215
2018-03-05 17:04:14,208
2018-03-05 17:04:15,174
2018-03-05 17:04:16,164
2018-03-05 17:04:17,157
2018-03-05 17:04:18,140
2018-03-05 17:04:19,138
2018-03-05 17:04:20,143
2018-03-05 17:04:21,151
2018-03-05 17:04:22,209
2018-03-05 17:04:23,198
2018-03-05 17:04:24,147
2018-03-05 17:04:25,134
2018-03-05 17:04:26,134
2018-03-05 17:04:27,134
2018-03-05 17:04:28,212
2018-03-05 17:04:29,171
2018-03-05 17:04:30,148
