datetime,BPM
2018-03-05 16:50:26,0
2018-03-05 16:50:27,121
2018-03-05 16:50:28,140
2018-03-05 16:50:29,145
2018-03-05 16:50:30,120
2018-03-05 16:50:31,112
2018-03-05 16:50:32,112
2018-03-05 16:50:33,0
2018-03-05 16:50:34,0
2018-03-05 16:50:35,0
2018-03-05 16:50:36,0
2018-03-05 16:50:37,0
2018-03-05 16:50:38,65
2018-03-05 16:50:39,65
2018-03-05 16:50:40,65
2018-03-05 16:50:41,0
2018-03-05 16:50:42,0
2018-03-05 16:50:43,0
2018-03-05 16:50:44,0
2018-03-05 16:50:45,24
2018-03-05 16:50:46,25
2018-03-05 16:50:47,27
2018-03-05 16:50:48,32
2018-03-05 16:50:49,35
2018-03-05 16:50:50,46
2018-03-05 16:50:51,65
2018-03-05 16:50:52,95
2018-03-05 16:50:53,108
2018-03-05 16:50:54,110
2018-03-05 16:50:55,106
2018-03-05 16:50:56,102
2018-03-05 16:50:57,102
2018-03-05 16:50:58,109
2018-03-05 16:50:59,133
2018-03-05 16:51:00,142
2018-03-05 16:51:01,140
2018-03-05 16:51:02,140
2018-03-05 16:51:03,111
2018-03-05 16:51:04,94
2018-03-05 16:51:05,83
2018-03-05 16:51:06,80
2018-03-05 16:51:07,79
2018-03-05 16:51:08,100
2018-03-05 16:51:09,163
2018-03-05 16:51:10,170
2018-03-05 16:51:11,124
2018-03-05 16:51:12,106
2018-03-05 16:51:13,106
2018-03-05 16:51:14,106
2018-03-05 16:51:15,0
2018-03-05 16:51:16,0
2018-03-05 16:51:17,101
2018-03-05 16:51:18,107
2018-03-05 16:51:19,112
2018-03-05 16:51:20,107
2018-03-05 16:51:21,104
2018-03-05 16:51:22,107
2018-03-05 16:51:23,90
2018-03-05 16:51:24,83
2018-03-05 16:51:25,83
2018-03-05 16:51:26,66
2018-03-05 16:51:27,66
2018-03-05 16:51:28,60
2018-03-05 16:51:29,56
2018-03-05 16:51:30,53
2018-03-05 16:51:31,53
2018-03-05 16:51:32,55
2018-03-05 16:51:33,84
2018-03-05 16:51:34,111
2018-03-05 16:51:35,140
2018-03-05 16:51:36,144
2018-03-05 16:51:37,140
2018-03-05 16:51:38,140
2018-03-05 16:51:39,140
2018-03-05 16:51:40,0
2018-03-05 16:51:41,0
2018-03-05 16:51:42,0
2018-03-05 16:51:43,156
2018-03-05 16:51:44,156
2018-03-05 16:51:45,150
2018-03-05 16:51:46,117
2018-03-05 16:51:47,106
2018-03-05 16:51:48,106
2018-03-05 16:51:49,82
2018-03-05 16:51:50,82
2018-03-05 16:51:51,74
