datetime,BPM
2018-03-03 20:34:52,0
2018-03-03 20:34:53,108
2018-03-03 20:34:54,109
2018-03-03 20:34:55,109
2018-03-03 20:34:56,95
2018-03-03 20:34:57,90
2018-03-03 20:34:58,91
2018-03-03 20:34:59,87
2018-03-03 20:35:00,87
2018-03-03 20:35:01,75
2018-03-03 20:35:02,70
2018-03-03 20:35:03,80
2018-03-03 20:35:04,91
2018-03-03 20:35:05,129
2018-03-03 20:35:06,179
2018-03-03 20:35:07,168
2018-03-03 20:35:08,148
2018-03-03 20:35:09,153
2018-03-03 20:35:10,144
2018-03-03 20:35:11,129
2018-03-03 20:35:12,130
2018-03-03 20:35:13,122
2018-03-03 20:35:14,131
2018-03-03 20:35:15,135
2018-03-03 20:35:16,167
2018-03-03 20:35:17,165
2018-03-03 20:35:18,143
2018-03-03 20:35:19,147
2018-03-03 20:35:20,125
2018-03-03 20:35:21,127
2018-03-03 20:35:22,131
2018-03-03 20:35:23,131
2018-03-03 20:35:24,137
2018-03-03 20:35:25,133
2018-03-03 20:35:26,121
2018-03-03 20:35:27,117
2018-03-03 20:35:28,121
2018-03-03 20:35:29,132
2018-03-03 20:35:30,136
2018-03-03 20:35:31,156
2018-03-03 20:35:32,175
2018-03-03 20:35:33,194
2018-03-03 20:35:34,163
2018-03-03 20:35:35,144
2018-03-03 20:35:36,136
2018-03-03 20:35:37,137
2018-03-03 20:35:38,145
2018-03-03 20:35:39,147
2018-03-03 20:35:40,137
2018-03-03 20:35:41,128
2018-03-03 20:35:42,116
2018-03-03 20:35:43,119
2018-03-03 20:35:44,131
2018-03-03 20:35:45,143
2018-03-03 20:35:46,152
2018-03-03 20:35:47,126
2018-03-03 20:35:48,108
2018-03-03 20:35:49,103
2018-03-03 20:35:50,92
2018-03-03 20:35:51,82
2018-03-03 20:35:52,82
2018-03-03 20:35:53,82
2018-03-03 20:35:54,0
2018-03-03 20:35:55,166
2018-03-03 20:35:56,153
2018-03-03 20:35:57,152
2018-03-03 20:35:58,145
2018-03-03 20:35:59,148
2018-03-03 20:36:00,172
2018-03-03 20:36:01,194
2018-03-03 20:36:02,215
2018-03-03 20:36:03,217
2018-03-03 20:36:04,218
2018-03-03 20:36:05,203
2018-03-03 20:36:06,206
2018-03-03 20:36:07,192
2018-03-03 20:36:08,212
2018-03-03 20:36:09,201
2018-03-03 20:36:10,212
2018-03-03 20:36:11,196
2018-03-03 20:36:12,193
2018-03-03 20:36:13,181
2018-03-03 20:36:14,172
2018-03-03 20:36:15,180
2018-03-03 20:36:16,191
2018-03-03 20:36:17,209
2018-03-03 20:36:18,212
2018-03-03 20:36:19,206
2018-03-03 20:36:20,193
2018-03-03 20:36:21,194
2018-03-03 20:36:22,191
2018-03-03 20:36:23,178
2018-03-03 20:36:24,178
2018-03-03 20:36:25,128
2018-03-03 20:36:26,113
