datetime,BPM,label
2018-03-03 20:34:52,0,0
2018-03-03 20:34:53,108,0
2018-03-03 20:34:54,109,0
2018-03-03 20:34:55,109,0
2018-03-03 20:34:56,95,0
2018-03-03 20:34:57,90,0
2018-03-03 20:34:58,91,0
2018-03-03 20:34:59,87,0
2018-03-03 20:35:00,87,0
2018-03-03 20:35:01,75,0
2018-03-03 20:35:02,70,0
2018-03-03 20:35:03,80,0
2018-03-03 20:35:04,91,0
2018-03-03 20:35:05,129,0
2018-03-03 20:35:06,179,0
2018-03-03 20:35:07,168,0
2018-03-03 20:35:08,148,0
2018-03-03 20:35:09,153,0
2018-03-03 20:35:10,144,0
2018-03-03 20:35:11,129,0
2018-03-03 20:35:12,130,0
2018-03-03 20:35:13,122,0
2018-03-03 20:35:14,131,0
2018-03-03 20:35:15,135,0
2018-03-03 20:35:16,167,0
2018-03-03 20:35:17,165,0
2018-03-03 20:35:18,143,0
2018-03-03 20:35:19,147,0
2018-03-03 20:35:20,125,0
2018-03-03 20:35:21,127,0
2018-03-03 20:35:22,131,0
2018-03-03 20:35:23,131,0
2018-03-03 20:35:24,137,0
2018-03-03 20:35:25,133,0
2018-03-03 20:35:26,121,0
2018-03-03 20:35:27,117,0
2018-03-03 20:35:28,121,0
2018-03-03 20:35:29,132,0
2018-03-03 20:35:30,136,0
2018-03-03 20:35:31,156,0
2018-03-03 20:35:32,175,0
2018-03-03 20:35:33,194,0
2018-03-03 20:35:34,163,0
2018-03-03 20:35:35,144,0
2018-03-03 20:35:36,136,0
2018-03-03 20:35:37,137,0
2018-03-03 20:35:38,145,0
2018-03-03 20:35:39,147,0
2018-03-03 20:35:40,137,0
2018-03-03 20:35:41,128,0
2018-03-03 20:35:42,116,0
2018-03-03 20:35:43,119,0
2018-03-03 20:35:44,131,0
2018-03-03 20:35:45,143,1
2018-03-03 20:35:46,152,1
2018-03-03 20:35:47,126,1
2018-03-03 20:35:48,108,1
2018-03-03 20:35:49,103,1
2018-03-03 20:35:50,92,1
2018-03-03 20:35:51,82,1
2018-03-03 20:35:52,82,1
2018-03-03 20:35:53,82,1
2018-03-03 20:35:54,0,1
2018-03-03 20:35:55,166,1
2018-03-03 20:35:56,153,1
2018-03-03 20:35:57,152,1
2018-03-03 20:35:58,145,1
2018-03-03 20:35:59,148,1
2018-03-03 20:36:00,172,1
2018-03-03 20:36:01,194,1
2018-03-03 20:36:02,215,1
2018-03-03 20:36:03,217,1
2018-03-03 20:36:04,218,1
2018-03-03 20:36:05,203,1
2018-03-03 20:36:06,206,1
2018-03-03 20:36:07,192,1
2018-03-03 20:36:08,212,1
2018-03-03 20:36:09,201,1
2018-03-03 20:36:10,212,1
2018-03-03 20:36:11,196,1
2018-03-03 20:36:12,193,1
2018-03-03 20:36:13,181,1
2018-03-03 20:36:14,172,1
2018-03-03 20:36:15,180,1
2018-03-03 20:36:16,191,1
2018-03-03 20:36:17,209,1
2018-03-03 20:36:18,212,1
2018-03-03 20:36:19,206,1
2018-03-03 20:36:20,193,1
2018-03-03 20:36:21,194,1
2018-03-03 20:36:22,191,1
2018-03-03 20:36:23,178,1
2018-03-03 20:36:24,178,1
2018-03-03 20:36:25,128,1
2018-03-03 20:36:26,113,1
