datetime,BPM,label
2018-03-03 20:19:36,0,0
2018-03-03 20:19:37,223,0
2018-03-03 20:19:38,209,0
2018-03-03 20:19:39,177,0
2018-03-03 20:19:40,164,0
2018-03-03 20:19:41,146,0
2018-03-03 20:19:42,138,0
2018-03-03 20:19:43,153,0
2018-03-03 20:19:44,136,0
2018-03-03 20:19:45,161,0
2018-03-03 20:19:46,152,0
2018-03-03 20:19:47,145,0
2018-03-03 20:19:48,137,0
2018-03-03 20:19:49,145,0
2018-03-03 20:19:50,152,0
2018-03-03 20:19:51,173,0
2018-03-03 20:19:52,181,0
2018-03-03 20:19:53,143,0
2018-03-03 20:19:54,139,0
2018-03-03 20:19:55,145,0
2018-03-03 20:19:56,123,0
2018-03-03 20:19:57,120,0
2018-03-03 20:19:58,121,0
2018-03-03 20:19:59,106,0
2018-03-03 20:20:00,106,0
2018-03-03 20:20:01,108,0
2018-03-03 20:20:02,129,0
2018-03-03 20:20:03,173,0
2018-03-03 20:20:04,213,0
2018-03-03 20:20:05,215,0
2018-03-03 20:20:06,175,1
2018-03-03 20:20:07,170,1
2018-03-03 20:20:08,150,1
2018-03-03 20:20:09,143,1
2018-03-03 20:20:10,156,1
2018-03-03 20:20:11,150,1
2018-03-03 20:20:12,174,1
2018-03-03 20:20:13,162,1
2018-03-03 20:20:14,157,1
2018-03-03 20:20:15,151,1
2018-03-03 20:20:16,151,1
2018-03-03 20:20:17,161,1
2018-03-03 20:20:18,184,1
2018-03-03 20:20:19,181,1
2018-03-03 20:20:20,200,1
2018-03-03 20:20:21,186,1
2018-03-03 20:20:22,170,1
2018-03-03 20:20:23,184,1
2018-03-03 20:20:24,190,1
2018-03-03 20:20:25,207,1
2018-03-03 20:20:26,180,1
2018-03-03 20:20:27,168,1
2018-03-03 20:20:28,171,1
