datetime,BPM
2/28/2018 17:54:35,0
2/28/2018 17:54:36,0
2/28/2018 17:54:37,0
2/28/2018 17:54:38,31
2/28/2018 17:54:39,32
2/28/2018 17:54:40,37
2/28/2018 17:54:41,45
2/28/2018 17:54:42,58
2/28/2018 17:54:43,81
2/28/2018 17:54:44,128
2/28/2018 17:54:45,128
2/28/2018 17:54:46,98
2/28/2018 17:54:47,87
2/28/2018 17:54:48,87
2/28/2018 17:54:49,80
2/28/2018 17:54:50,80
2/28/2018 17:54:51,70
2/28/2018 17:54:52,66
2/28/2018 17:54:53,60
2/28/2018 17:54:54,58
2/28/2018 17:54:55,66
2/28/2018 17:54:56,86
2/28/2018 17:54:57,109
2/28/2018 17:54:58,136
2/28/2018 17:54:59,127
2/28/2018 17:55:00,122
2/28/2018 17:55:01,122
2/28/2018 17:55:02,96
2/28/2018 17:55:03,86
2/28/2018 17:55:04,86
2/28/2018 17:55:05,86
2/28/2018 17:55:06,0
2/28/2018 17:55:07,0
2/28/2018 17:55:08,34
2/28/2018 17:55:09,35
2/28/2018 17:55:10,40
2/28/2018 17:55:11,43
2/28/2018 17:55:12,74
2/28/2018 17:55:13,109
2/28/2018 17:55:14,130
2/28/2018 17:55:15,158
2/28/2018 17:55:16,143
2/28/2018 17:55:17,141
2/28/2018 17:55:18,141
2/28/2018 17:55:19,104
2/28/2018 17:55:20,95
2/28/2018 17:55:21,87
2/28/2018 17:55:22,78
2/28/2018 17:55:23,73
2/28/2018 17:55:24,70
2/28/2018 17:55:25,70
2/28/2018 17:55:26,70
2/28/2018 17:55:27,0
2/28/2018 17:55:28,0
2/28/2018 17:55:29,28
2/28/2018 17:55:30,29
2/28/2018 17:55:31,31
2/28/2018 17:55:32,31
2/28/2018 17:55:33,31
2/28/2018 17:55:34,0
2/28/2018 17:55:35,184
